year,home,stadium,y,absorp,capa
2012,アビスパ福岡,レベルファイブスタジアム,5586.142857142857,24.758095238095237,22563.0
2012,アルビレックス新潟,デンカビッグスワンスタジアム,25018.176470588234,59.14411764705884,42300.0
2012,カターレ富山,富山県総合運動公園陸上競技場,3324.1428571428573,13.164761904761903,25250.0
2012,ガイナーレ鳥取,とりぎんバードスタジアム,3132.6666666666665,19.54047619047619,16033.0
2012,ガンバ大阪,万博記念競技場,14778.35294117647,70.37352941176471,21000.0
2012,ギラヴァンツ北九州,北九州市立本城陸上競技場,3346.3809523809523,32.80238095238095,10202.0
2012,コンサドーレ札幌,札幌ドーム,14884.3,37.940000000000005,39232.0
2012,コンサドーレ札幌,札幌厚別公園競技場,7899.714285714285,40.26428571428572,19620.0
2012,サガン鳥栖,ベストアメニティスタジアム,12743.285714285714,52.035000000000004,24490.0
2012,サガン鳥栖,佐賀県総合運動場陸上競技場,8479.333333333334,49.876666666666665,17000.0
2012,サンフレッチェ広島,エディオンスタジアム広島,17720.529411764706,35.44294117647059,50000.0
2012,ザスパ草津,正田醤油スタジアム群馬,3423.315789473684,22.61789473684211,15135.0
2012,ザスパ草津,熊谷スポーツ文化公園陸上競技場,2558.0,16.61,15400.0
2012,ジェフユナイテッド千葉,フクダ電子アリーナ,9280.619047619048,50.16523809523809,18500.0
2012,ジュビロ磐田,エコパスタジアム,25469.0,50.05,50889.0
2012,ジュビロ磐田,ヤマハスタジアム（磐田）,11475.533333333333,75.67066666666666,15165.0
2012,セレッソ大阪,キンチョウスタジアム,11893.545454545454,60.594545454545454,19628.0
2012,セレッソ大阪,ヤンマースタジアム長居,26115.833333333332,54.616666666666674,47816.0
2012,ファジアーノ岡山,シティライトスタジアム,8187.25,40.93599999999999,20000.0
2012,ファジアーノ岡山,岡山県津山陸上競技場,3946.0,39.46,10000.0
2012,ベガルタ仙台,ユアテックスタジアム仙台,16600.0,84.28882352941176,19694.0
2012,モンテディオ山形,ＮＤソフトスタジアム山形,7355.190476190476,34.544285714285714,21292.0
2012,ロアッソ熊本,うまかな・よかなスタジアム,5942.722222222223,18.571666666666665,32000.0
2012,ロアッソ熊本,熊本市水前寺競技場,5329.0,35.526666666666664,15000.0
2012,ヴァンフォーレ甲府,山梨中銀スタジアム,10406.619047619048,61.2157142857143,17000.0
2012,ヴィッセル神戸,ノエビアスタジアム神戸,14735.125,48.903125,30132.0
2012,ヴィッセル神戸,神戸総合運動公園ユニバー記念競技場,13091.0,29.09,45000.0
2012,京都サンガF.C.,京都市西京極総合運動公園陸上競技場兼球技場,7275.4,35.339000000000006,20588.0
