stadium,home,absorp
うまかな・よかなスタジアム,ロアッソ熊本,20.175
とりぎんバードスタジアム,ガイナーレ鳥取,22.546428571428574
エコパスタジアム,ジュビロ磐田,46.5
エコパスタジアム,清水エスパルス,43.83
エディオンスタジアム広島,サンフレッチェ広島,32.98906976744186
キンチョウスタジアム,セレッソ大阪,68.44416666666666
ケーズデンキスタジアム水戸,水戸ホーリーホック,36.44537037037036
シティライトスタジアム,ファジアーノ岡山,41.79566037735848
デンカビッグスワンスタジアム,アルビレックス新潟,59.46738095238098
ニッパツ三ツ沢球技場,横浜Ｆ・マリノス,75.02625
ニッパツ三ツ沢球技場,横浜ＦＣ,37.73038461538461
ニンジニアスタジアム,愛媛ＦＣ,24.7
ノエビアスタジアム神戸,ヴィッセル神戸,45.038409090909084
フクダ電子アリーナ,ジェフユナイテッド千葉,51.47148148148148
ベストアメニティスタジアム,サガン鳥栖,52.031794871794865
ヤマハスタジアム（磐田）,ジュビロ磐田,67.74204545454545
ヤンマースタジアム長居,セレッソ大阪,54.45473684210527
ユアテックスタジアム仙台,ベガルタ仙台,77.73585365853658
レベルファイブスタジアム,アビスパ福岡,24.66740740740741
万博記念競技場,ガンバ大阪,64.04739130434784
京都市西京極総合運動公園陸上競技場兼球技場,京都サンガF.C.,37.25980000000001
佐賀県総合運動場陸上競技場,サガン鳥栖,49.876666666666665
北九州市立本城陸上競技場,ギラヴァンツ北九州,32.01777777777779
名古屋市瑞穂陸上競技場,名古屋グランパス,62.53833333333333
味の素スタジアム,東京ヴェルディ,11.57731707317073
味の素スタジアム,ＦＣ東京,48.24815789473683
味の素フィールド西が丘,東京ヴェルディ,42.69333333333333
味の素フィールド西が丘,横浜ＦＣ,64.99
国立競技場,ヴァンフォーレ甲府,48.699999999999996
国立競技場,川崎フロンターレ,39.94
国立競技場,東京ヴェルディ,13.736
国立競技場,柏レイソル,51.400000000000006
国立競技場,ＦＣ東京,50.44199999999999
埼玉スタジアム２００２,浦和レッズ,57.114883720930244
大分銀行ドーム,大分トリニータ,24.819399999999995
大垣市浅中公園総合グラウンド陸上競技場,ＦＣ岐阜,78.35
宮城スタジアム,ベガルタ仙台,34.97
富山県総合運動公園陸上競技場,カターレ富山,16.011851851851855
山梨中銀スタジアム,ヴァンフォーレ甲府,63.4481818181818
岐阜メモリアルセンター長良川球技メドウ,ＦＣ岐阜,70.4925
岐阜メモリアルセンター長良川競技場,ＦＣ岐阜,27.456599999999995
岡山県津山陸上競技場,ファジアーノ岡山,39.46
日産スタジアム,横浜Ｆ・マリノス,38.24941176470588
日立柏サッカー場,柏レイソル,73.93897435897436
札幌ドーム,コンサドーレ札幌,34.06033333333334
札幌厚別公園競技場,コンサドーレ札幌,36.85142857142858
松本平広域公園総合球技場,松本山雅ＦＣ,52.349629629629625
栃木県グリーンスタジアム,栃木ＳＣ,29.2075
正田醤油スタジアム群馬,ザスパクサツ群馬,23.013750000000005
正田醤油スタジアム群馬,ザスパ草津,22.61789473684211
熊本市水前寺競技場,ロアッソ熊本,30.239999999999995
熊谷スポーツ文化公園陸上競技場,ザスパ草津,16.61
熊谷スポーツ文化公園陸上競技場,大宮アルディージャ,63.25
町田市立陸上競技場,ＦＣ町田ゼルビア,34.79899999999999
県立カシマサッカースタジアム,鹿島アントラーズ,38.83047619047618
神戸総合運動公園ユニバー記念競技場,ヴィッセル神戸,26.816666666666666
福島県営あづま陸上競技場,横浜ＦＣ,24.63
等々力陸上競技場,川崎フロンターレ,63.731666666666655
豊田スタジアム,名古屋グランパス,51.5616
長崎市総合運動公園かきどまり陸上競技場,Ｖ・ファーレン長崎,24.62
長崎県立総合運動公園陸上競技場,Ｖ・ファーレン長崎,27.138437500000002
香川県立丸亀競技場,カマタマーレ讃岐,15.049999999999999
駒沢オリンピック公園総合運動場陸上競技場,東京ヴェルディ,29.73
駒沢オリンピック公園総合運動場陸上競技場,ＦＣ町田ゼルビア,21.42
鳴門・大塚スポーツパーク　ポカリスエットスタジアム,徳島ヴォルティス,24.8596
鹿児島県立鴨池陸上競技場 ,京都サンガF.C.,30.49
ＩＡＩスタジアム日本平,清水エスパルス,69.53225
ＮＡＣＫ５スタジアム大宮,大宮アルディージャ,69.50925
ＮＤソフトスタジアム山形,モンテディオ山形,32.61722222222222
Ｓｈｏｎａｎ　ＢＭＷスタジアム平塚,湘南ベルマーレ,53.96999999999999
