year,stage,match,team,ranking
2012,1,1,ヴィッセル神戸,1
2012,1,1,ＦＣ東京,2
2012,1,1,名古屋グランパス,2
2012,1,1,サンフレッチェ広島,2
2012,1,1,ベガルタ仙台,2
2012,1,1,川崎フロンターレ,2
2012,1,1,横浜Ｆ・マリノス,7
2012,1,1,柏レイソル,7
2012,1,1,コンサドーレ札幌,9
2012,1,1,ジュビロ磐田,9
2012,1,1,セレッソ大阪,9
2012,1,1,サガン鳥栖,9
2012,1,1,ガンバ大阪,13
2012,1,1,大宮アルディージャ,14
2012,1,1,浦和レッズ,14
2012,1,1,清水エスパルス,14
2012,1,1,アルビレックス新潟,14
2012,1,1,鹿島アントラーズ,14
2012,1,2,ベガルタ仙台,1
2012,1,2,ＦＣ東京,2
2012,1,2,ヴィッセル神戸,3
2012,1,2,川崎フロンターレ,4
2012,1,2,セレッソ大阪,5
2012,1,2,ジュビロ磐田,5
2012,1,2,大宮アルディージャ,7
2012,1,2,清水エスパルス,7
2012,1,2,浦和レッズ,9
2012,1,2,名古屋グランパス,10
2012,1,2,サンフレッチェ広島,11
2012,1,2,コンサドーレ札幌,12
2012,1,2,サガン鳥栖,12
2012,1,2,柏レイソル,14
2012,1,2,横浜Ｆ・マリノス,15
2012,1,2,アルビレックス新潟,16
2012,1,2,ガンバ大阪,16
2012,1,2,鹿島アントラーズ,18
2012,1,3,ベガルタ仙台,1
2012,1,3,ＦＣ東京,2
2012,1,3,ジュビロ磐田,3
2012,1,3,セレッソ大阪,4
2012,1,3,サンフレッチェ広島,5
2012,1,3,浦和レッズ,6
2012,1,3,名古屋グランパス,6
2012,1,3,川崎フロンターレ,8
2012,1,3,ヴィッセル神戸,9
2012,1,3,柏レイソル,10
2012,1,3,サガン鳥栖,11
2012,1,3,清水エスパルス,12
2012,1,3,大宮アルディージャ,13
2012,1,3,コンサドーレ札幌,14
2012,1,3,横浜Ｆ・マリノス,15
2012,1,3,アルビレックス新潟,16
2012,1,3,ガンバ大阪,16
2012,1,3,鹿島アントラーズ,18
2012,1,4,ベガルタ仙台,1
2012,1,4,ジュビロ磐田,2
2012,1,4,サンフレッチェ広島,3
2012,1,4,ＦＣ東京,4
2012,1,4,サガン鳥栖,5
2012,1,4,名古屋グランパス,6
2012,1,4,浦和レッズ,6
2012,1,4,川崎フロンターレ,6
2012,1,4,セレッソ大阪,9
2012,1,4,清水エスパルス,10
2012,1,4,ヴィッセル神戸,11
2012,1,4,大宮アルディージャ,12
2012,1,4,柏レイソル,13
2012,1,4,横浜Ｆ・マリノス,14
2012,1,4,アルビレックス新潟,15
2012,1,4,ガンバ大阪,15
2012,1,4,鹿島アントラーズ,17
2012,1,4,コンサドーレ札幌,18
2012,1,5,ベガルタ仙台,1
2012,1,5,サンフレッチェ広島,2
2012,1,5,ＦＣ東京,3
2012,1,5,ジュビロ磐田,4
2012,1,5,セレッソ大阪,5
2012,1,5,浦和レッズ,6
2012,1,5,名古屋グランパス,7
2012,1,5,清水エスパルス,8
2012,1,5,柏レイソル,9
2012,1,5,川崎フロンターレ,10
2012,1,5,サガン鳥栖,10
2012,1,5,ヴィッセル神戸,12
2012,1,5,大宮アルディージャ,13
