name,address,capa,lat,lng,station,age,child,population,area
名古屋市瑞穂陸上競技場,愛知県名古屋市瑞穂区山下通5-1,20000,35.122624,136.943474,1.0,43.21,0.19,7443.0,5116.0
豊田スタジアム,愛知県豊田市千石町7-2,40000,35.084572,137.1700161,0.0,43.21,0.19,7443.0,5116.0
フクダ電子アリーナ,千葉県千葉市中央区川崎町1-20,18500,35.5768105,140.1229068,1.0,44.86,0.17,6192.0,5082.0
日立柏サッカー場,千葉県柏市日立台1-2-50,15349,35.8487916,139.9756698,0.0,44.86,0.17,6192.0,5082.0
ニンジニアスタジアム,愛媛県松山市上野町乙46,15576,33.7685355,132.7949466,0.0,47.32,0.17,1405.0,5679.0
レベルファイブスタジアム,福岡県福岡市博多区東平尾公園2-1-1,22563,33.5861389,130.4600893,0.0,44.57,0.18,5090.0,4847.0
北九州市立本城陸上競技場,福岡県北九州市八幡西区御開4-16-1,10202,33.8902979,130.7309062,0.0,44.57,0.18,5090.0,4847.0
岐阜メモリアルセンター長良川競技場,岐阜県岐阜市長良福光大野2675-28,20000,35.4429119,136.763069,0.0,45.56,0.19,2051.0,9768.0
正田醤油スタジアム群馬,群馬県前橋市敷島町66,15135,36.4127303,139.0522199,0.0,45.62,0.18,1984.0,6362.0
エディオンスタジアム広島,広島県広島市安佐南区大塚西5-1-1,50000,34.4410767,132.3941448,1.0,45.46,0.18,2840.0,8480.0
札幌ドーム,北海道札幌市豊平区羊ヶ丘1,39232,43.0095988,141.4195619,0.0,46.92,0.16,5431.0,83457.0
札幌厚別公園競技場,北海道札幌市厚別区上野幌3条1-2-1,19620,43.01869749999999,141.4632302,1.0,46.92,0.16,5431.0,83457.0
ノエビアスタジアム神戸,兵庫県神戸市兵庫区御崎町1-2-2,30132,34.6567255,135.1681706,1.0,45.13,0.18,5558.0,8396.0
県立カシマサッカースタジアム,茨城県鹿嶋市神向寺後山26-2,40728,35.991979,140.6404297,0.0,45.31,0.18,2931.0,6096.0
ケーズデンキスタジアム水戸,茨城県水戸市小吹町2058-1,12000,36.3454461,140.4114954,0.0,45.31,0.18,2931.0,6096.0
