name,address,capa,near_station,lat,lng,population,age,child,area
名古屋市瑞穂陸上競技場,愛知県名古屋市瑞穂区山下通5-1,20000,1.0,35.122624,136.943474,7443.0,43.21,0.19,5116.0
豊田スタジアム,愛知県豊田市千石町7-2,40000,0.0,35.084571999999994,137.1700161,7443.0,43.21,0.19,5116.0
フクダ電子アリーナ,千葉県千葉市中央区川崎町1-20,18500,1.0,35.5768105,140.1229068,6192.0,44.86,0.17,5082.0
日立柏サッカー場,千葉県柏市日立台1-2-50,15349,0.0,35.848791600000006,139.97566980000002,6192.0,44.86,0.17,5082.0
ニンジニアスタジアム,愛媛県松山市上野町乙46,15576,0.0,33.7685355,132.7949466,1405.0,47.32,0.17,5679.0
レベルファイブスタジアム,福岡県福岡市博多区東平尾公園2-1-1,22563,0.0,33.586138899999995,130.4600893,5090.0,44.57,0.18,4847.0
北九州市立本城陸上競技場,福岡県北九州市八幡西区御開4-16-1,10202,0.0,33.8902979,130.7309062,5090.0,44.57,0.18,4847.0
岐阜メモリアルセンター長良川競技場,岐阜県岐阜市長良福光大野2675-28,20000,0.0,35.4429119,136.763069,2051.0,45.56,0.19,9768.0
正田醤油スタジアム群馬,群馬県前橋市敷島町66,15135,0.0,36.41273029999999,139.0522199,1984.0,45.62,0.18,6362.0
エディオンスタジアム広島,広島県広島市安佐南区大塚西5-1-1,50000,1.0,34.4410767,132.3941448,2840.0,45.46,0.18,8480.0
札幌ドーム,北海道札幌市豊平区羊ヶ丘1,39232,0.0,43.00959879999999,141.4195619,5431.0,46.92,0.16,83457.0
札幌厚別公園競技場,北海道札幌市厚別区上野幌3条1-2-1,19620,1.0,43.01869749999999,141.4632302,5431.0,46.92,0.16,83457.0
ノエビアスタジアム神戸,兵庫県神戸市兵庫区御崎町1-2-2,30132,1.0,34.6567255,135.1681706,5558.0,45.13,0.18,8396.0
県立カシマサッカースタジアム,茨城県鹿嶋市神向寺後山26-2,40728,0.0,35.991979,140.64042969999997,2931.0,45.31,0.18,6096.0
ケーズデンキスタジアム水戸,茨城県水戸市小吹町2058-1,12000,0.0,36.345446100000004,140.4114954,2931.0,45.31,0.18,6096.0
鹿児島県立鴨池陸上競技場 ,鹿児島県鹿児島市与次郎2-2-2,19934,1.0,31.5647132,130.5595158,1680.0,46.84,0.19,9045.0
等々力陸上競技場,神奈川県川崎市中原区等々力1-1,26530,1.0,35.5900902,139.6473358,9079.0,43.8,0.18,2416.0
日産スタジアム,神奈川県横浜市港北区小机町3300,72327,1.0,35.510047,139.6063366,9079.0,43.8,0.18,2416.0
ニッパツ三ツ沢球技場,神奈川県横浜市神奈川区三ツ沢西町3-1,15454,1.0,35.4697969,139.6066334,9079.0,43.8,0.18,2416.0
Ｓｈｏｎａｎ　ＢＭＷスタジアム平塚,神奈川県平塚市大原1-1,15100,0.0,35.34150959999999,139.3385989,9079.0,43.8,0.18,2416.0
うまかな・よかなスタジアム,熊本県熊本市東区平山町2776,32000,0.0,32.8373859,130.7994601,1801.0,46.31,0.19,7268.0
熊本市水前寺競技場,熊本県熊本市中央区水前寺5-23-3,15000,1.0,32.7944603,130.7406149,1801.0,46.31,0.19,7268.0
京都市西京極総合運動公園陸上競技場兼球技場,京都府京都市右京区西京極新明町29,20588,1.0,34.9933378,135.7155749,2617.0,45.19,0.17,4613.0
ユアテックスタジアム仙台,宮城県仙台市泉区七北田字柳78,19694,1.0,38.3191584,140.8818571,2328.0,44.82,0.18,6862.0
松本平広域公園総合球技場,長野県松本市神林5300,20396,0.0,36.179581799999994,137.91648490000003,2122.0,46.7,0.18,13105.0
デンカビッグスワンスタジアム,新潟県新潟市中央区清五郎67-12,42300,0.0,37.8824079,139.059359,2330.0,47.23,0.17,10364.0
大分銀行ドーム,大分県大分市大字横尾1351,40000,0.0,33.2007577,131.6564724,1178.0,47.08,0.18,5100.0
シティライトスタジアム,岡山県岡山市北区いずみ町2-1,20000,1.0,34.6774487,133.91937240000001,1930.0,45.8,0.18,7010.0
