id,y,year,stage,match,gameday,time,home,away,stadium,tv,address,capa,absorp
13994,18250,2012,Ｊ１,第１節第１日,03/10(土),14:04,ベガルタ仙台,鹿島アントラーズ,ユアテックスタジアム仙台,スカパー／ｅ２／スカパー光／ＮＨＫ総合,宮城県仙台市泉区七北田字柳78,19694,0.8428963135980503
13995,24316,2012,Ｊ１,第１節第１日,03/10(土),14:04,名古屋グランパス,清水エスパルス,豊田スタジアム,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　４）／ＮＨＫ名古屋,愛知県豊田市千石町7-2,40000,0.5255
13996,17066,2012,Ｊ１,第１節第１日,03/10(土),14:04,ガンバ大阪,ヴィッセル神戸,万博記念競技場,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　１）／ＮＨＫ大阪,大阪府吹田市千里万博公園5-2,21000,0.7037310924369748
13997,29603,2012,Ｊ１,第１節第１日,03/10(土),14:06,サンフレッチェ広島,浦和レッズ,エディオンスタジアム広島,スカパー／ｅ２／スカパー光／ＮＨＫ広島,広島県広島市安佐南区大塚西5-1-1,50000,0.3544105882352941
13998,25353,2012,Ｊ１,第１節第１日,03/10(土),14:04,コンサドーレ札幌,ジュビロ磐田,札幌ドーム,スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）／ＮＨＫ札幌,北海道札幌市豊平区羊ヶ丘1,39232,0.3793918230016313
13999,11283,2012,Ｊ１,第１節第１日,03/10(土),14:05,サガン鳥栖,セレッソ大阪,ベストアメニティスタジアム,スカパー／ｅ２／スカパー光／ＮＨＫ佐賀,佐賀県鳥栖市京町812,24490,0.520346497112524
14000,18920,2012,Ｊ１,第１節第１日,03/10(土),17:05,川崎フロンターレ,アルビレックス新潟,等々力陸上競技場,スカパー／ｅ２／スカパー光,神奈川県川崎市中原区等々力1-1,26530,0.6712024123633623
14001,11437,2012,Ｊ１,第１節第１日,03/10(土),19:04,大宮アルディージャ,ＦＣ東京,ＮＡＣＫ５スタジアム大宮,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１,埼玉県さいたま市大宮区高鼻町4,15600,0.6843709935897436
14002,13082,2012,Ｊ１,第１節第２日,03/11(日),14:04,柏レイソル,横浜Ｆ・マリノス,日立柏サッカー場,スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）,千葉県柏市日立台1-2-50,15349,0.7926640171998175
14003,19010,2012,Ｊ１,第２節第１日,03/17(土),14:04,鹿島アントラーズ,川崎フロンターレ,県立カシマサッカースタジアム,スカパー／ｅ２／スカパー光／ＮＨＫ水戸,茨城県鹿嶋市神向寺後山26-2,40728,0.3776618484753949
14004,41069,2012,Ｊ１,第２節第１日,03/17(土),14:04,浦和レッズ,柏レイソル,埼玉スタジアム２００２,スカパー／ｅ２／スカパー光／ＮＨＫ総合,埼玉県さいたま市緑区中野田500,63700,0.5750965001385171
14005,19488,2012,Ｊ１,第２節第１日,03/17(土),14:03,横浜Ｆ・マリノス,ベガルタ仙台,日産スタジアム,スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）,神奈川県横浜市港北区小机町3300,72327,0.3567468382682618
14006,26294,2012,Ｊ１,第２節第１日,03/17(土),14:03,アルビレックス新潟,大宮アルディージャ,デンカビッグスワンスタジアム,スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）／新潟総合テレビ,新潟県新潟市中央区清五郎67-12,42300,0.5914462522597692
14007,30764,2012,Ｊ１,第２節第１日,03/17(土),14:04,セレッソ大阪,ガンバ大阪,ヤンマースタジアム長居,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　１）／ＮＨＫ大阪,大阪府大阪市東住吉区長居公園1-1,47816,0.5461735262952429
14008,13231,2012,Ｊ１,第２節第１日,03/17(土),15:04,清水エスパルス,サンフレッチェ広島,ＩＡＩスタジアム日本平,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　４）／テレビ静岡,静岡県静岡市清水区村松3880-1,20281,0.7207053399733739
