jap_cnt,home_cum,away_cum
0,2303,4160
0,3993,3449
3,3285,2250
1,3176,5353
0,1347,3391
1,1454,2618
0,3073,2405
2,3344,3865
0,3551,3717
0,4160,3073
0,5353,3551
0,3717,2303
0,2405,3344
2,2618,3285
1,3449,3176
1,3391,1454
1,2250,1347
2,3865,3993
0,2303,3344
1,3176,4160
0,3073,2618
2,2250,3865
1,1454,3717
0,1347,5353
0,3551,3449
0,3993,2405
2,3285,3391
0,3344,3993
3,3865,3176
0,5353,3073
0,3391,3551
0,2618,2303
2,2405,3285
0,3449,1347
0,3717,4160
1,1454,2250
0,1347,3551
0,2303,3391
1,3993,1454
0,2250,3449
1,2405,3717
0,3344,2618
0,4160,5353
3,3176,3285
2,3073,3865
0,3551,2303
2,3865,4160
0,3717,3344
0,5353,2250
0,3449,3391
0,3993,1347
2,1454,3176
2,3285,3073
1,2618,2405
0,1347,3073
0,3391,3717
0,2250,3551
1,3176,3993
0,4160,2618
2,1454,2405
0,3344,5353
2,2303,3865
2,3285,3449
2,3865,3449
0,3993,5353
1,3551,1454
1,3073,3176
2,4160,3285
0,3344,1347
1,3717,2250
1,2405,2303
0,2618,3391
0,1347,2618
0,2250,3344
0,3073,3391
2,3176,2405
1,1454,2303
0,5353,3717
0,3449,4160
1,3865,3551
3,3285,3993
0,2303,3449
0,3717,1347
0,2618,2250
1,3551,3176
2,3344,3285
0,3391,5353
0,3993,3073
1,4160,1454
3,2405,3865
2,1347,3865
0,3391,4160
0,1454,3344
0,3073,3551
1,3176,3717
0,3449,2618
1,5353,2405
0,2250,3993
2,3285,2303
2,3717,3285
1,3176,2250
1,2405,3391
0,5353,3449
0,3344,3073
0,4160,1347
1,2303,3993
0,2618,3551
2,3865,1454
1,3993,2618
3,3285,1454
1,1347,3176
0,3073,2303
0,3449,3717
0,3391,3344
0,2250,4160
1,3551,2405
1,3865,5353
0,2303,1347
0,4160,3993
0,3344,3551
2,3717,3865
1,2405,3449
1,3391,2250
0,3285,5353
1,2618,3176
1,1454,3073
2,1347,3285
1,3865,2618
1,3449,1454
0,3551,4160
1,3176,3344
0,5353,2303
0,3073,3717
1,3993,3391
1,2250,2405
1,3717,3993
1,2303,3176
0,3344,3449
1,3073,2250
1,2405,4160
1,3391,3865
2,3285,3551
0,2618,5353
1,1454,1347
1,1347,2405
1,5353,1454
0,3449,3073
0,4160,3344
3,3865,3285
0,3551,3993
0,3717,2618
0,2250,2303
1,3176,3391
0,3449,3551
0,3344,2250
1,2405,5353
0,3391,1347
1,3993,2303
2,3285,3717
0,2618,4160
1,3176,3073
2,1454,3865
1,1347,3993
0,5353,3391
1,2303,1454
1,4160,3176
2,3865,2405
0,3551,2618
0,3073,3344
0,3717,3449
2,2250,3285
1,5353,3865
0,2303,3717
1,2405,3551
0,3391,3073
1,3993,2250
2,3285,3344
0,2618,1347
1,3176,3449
1,1454,4160
0,1347,2303
1,3449,3993
0,4160,3391
1,3344,3176
1,3551,3865
1,3073,1454
1,3717,2405
2,3285,2618
0,2250,5353
0,1347,2250
1,3865,3344
0,2303,3551
0,5353,4160
0,3717,3073
2,2405,3176
0,3391,2618
3,3993,3285
1,1454,3449
0,3449,5353
1,4160,2405
0,3344,2303
0,3551,3391
1,3073,3993
2,3285,1347
0,2618,3717
1,2250,1454
2,3176,3865
0,1347,3449
0,5353,3344
1,3865,3717
0,2303,3073
0,4160,2250
1,2405,2618
1,3391,3176
1,3993,3551
3,1454,3285
1,3344,1454
0,3551,1347
0,3073,4160
0,3717,5353
1,3449,3865
3,3285,2405
1,2618,3993
0,2250,3391
1,3176,2303
0,1347,3344
0,2303,2250
0,4160,3717
1,3391,2405
0,2618,3449
2,5353,3285
1,3865,3073
2,3993,3176
1,1454,3551
0,3344,3717
0,3551,5353
1,3865,3391
0,3073,1347
2,2405,3993
0,3449,2303
2,3285,4160
0,2250,2618
2,3176,1454
0,5353,1347
2,3717,3176
1,2405,2250
0,3391,3449
1,2618,1454
2,2303,3285
1,4160,3865
0,3551,3073
1,3993,3344
0,1347,4160
0,2303,5353
0,3344,2405
2,3073,3285
0,3717,3391
0,3449,2250
0,2618,3865
1,3176,3551
2,1454,3993
0,4160,3449
0,5353,2618
1,2405,1454
0,3391,2303
0,2250,3073
0,3551,3344
1,3865,1347
1,3993,3717
3,3285,3176
0,2303,2618
0,3344,4160
0,3073,5353
0,3449,2405
0,2250,3717
1,3176,1347
1,1454,3391
2,3551,3285
1,3993,3865
1,1347,1454
0,4160,2303
1,5353,3176
1,3865,2250
0,3717,3551
0,2405,3073
2,3449,3285
1,3391,3993
0,2618,3344
0,1347,3717
0,2303,2405
0,3344,3391
0,3551,2250
0,3073,3449
1,3993,4160
4,3285,3865
2,3176,2618
1,1454,5353
0,4160,3551
1,5353,3993
2,3865,2303
1,3717,1454
0,2405,1347
0,3449,3344
2,3391,3285
0,2618,3073
1,2250,3176
1,483,1054
0,1470,893
0,1179,791
0,528,576
0,878,599
0,854,678
0,986,496
0,2408,1047
0,504,493
0,869,2039
0,682,1050
1,483,599
0,791,986
0,493,854
0,893,1047
0,1050,528
0,682,878
0,496,869
0,1470,1179
0,1054,504
0,678,576
0,2039,2408
0,1047,986
0,2039,678
0,576,493
0,1050,791
0,893,682
0,869,854
0,599,1470
0,528,496
1,878,483
0,2408,1054
0,1179,504
0,493,678
0,1047,1179
0,496,1050
0,854,2408
0,986,878
0,869,528
0,504,893
1,682,483
0,791,599
0,1054,1470
0,576,2039
1,483,893
0,599,682
0,2039,493
0,878,1047
0,854,576
0,1054,1179
0,504,791
0,2408,1050
0,1470,496
0,678,869
0,528,986
1,1047,483
0,791,2408
0,893,599
0,2039,854
0,576,869
0,678,528
0,496,1054
0,493,1470
0,1179,682
0,1050,878
0,986,504
1,483,2408
0,791,678
0,1470,1050
0,878,893
0,504,854
0,682,576
0,1054,1047
0,869,493
0,1179,986
0,599,496
0,528,2039
0,1047,599
0,496,504
0,493,791
0,678,893
0,2039,1470
0,2408,878
0,869,1054
0,528,682
0,576,1179
1,854,483
0,986,1050
1,483,496
0,791,528
0,1179,493
0,504,678
0,682,1047
0,1054,2039
0,1470,869
0,893,2408
0,599,986
0,878,576
0,1050,854
0,1047,791
0,496,682
0,2408,599
0,493,893
1,869,483
0,528,1054
0,2039,986
0,1050,1179
0,854,1470
0,678,878
0,576,504
1,483,1050
0,791,576
0,1054,493
0,986,678
0,504,869
0,893,2039
0,682,2408
0,1179,854
0,599,528
0,878,496
0,1470,1047
0,1047,504
0,2039,791
0,854,986
0,678,1470
0,496,2408
0,1054,878
