id,y,year,stage,match,home,away,stadium,week_day,month,day,tv_cnt,BS-TBS,NHK,地方局,ｽｶﾊﾟｰ,home_score,away_score,temperature,humidity,referee,home_01,home_02,home_03,home_04,home_05,home_06,home_07,home_08,home_09,home_10,home_11,away_01,away_02,away_03,away_04,away_05,away_06,away_07,away_08,away_09,away_10,away_11,weather_晴,weather_曇,weather_雨,weather_屋内,weather_雷,weather_雪,weather_霧,weather_のち,weather_時々,weather_一時,address,capa,h_lat,h_lng,station,age,child,population,area,absorp,home_stadium,lat,lng,away_stadium,a_lat,a_lng,discomfort,ranking_x,ranking_y,home_all,away_all,distance,week_absorp,jap_cnt,home_cum,away_cum
13994,18250,2012,1,1,15,37,15,5,3,10,4.0,0,1,0,1,1,0,3.8,66.0,35,40000000,20000000,20000000,20000000,2500000,17000000,26000000,20000000,30000000,70000000,30000000,70000000,30000000,2500000,30000000,20000000,45000000,2500000,80000000,25000000,2500000,2500000,0,0,1,0,0,0,0,0,0,0,15,19694,38.3191584,140.8818571,1.0,44.82,0.18,2328.0,6862.0,77.73585365853658,15,38.3191584,140.8818571,44,35.991979,140.64042969999997,42.42292,18.0,18.0,295500000.0,310000000.0,202695.59861645297,54.345731748299826,0,2303,4160
13995,24316,2012,1,1,21,35,48,5,3,10,4.0,0,1,0,1,1,0,12.4,43.0,48,90000000,2500000,150000000,30000000,20000000,38000000,52000000,60000000,2500000,100000000,65000000,14000000,20000000,35000000,60000000,2500000,25000000,18000000,26000000,25000000,20000000,50000000,0,0,0,1,0,0,0,0,0,0,29,40000,35.084571999999994,137.1700161,0.0,43.21,0.19,7443.0,5116.0,51.5616,48,35.084571999999994,137.1700161,55,34.9851684,138.481305,55.47368,18.0,18.0,610000000.0,295500000.0,145884.9830247693,54.345731748299826,0,3993,3449
13996,17066,2012,1,1,5,19,17,5,3,10,4.0,0,1,0,1,2,3,11.3,41.0,52,2500000,45000000,25000000,110000000,20000000,33000000,150000000,17000000,30000000,2500000,30000000,25000000,2500000,30000000,2500000,30000000,2500000,20000000,30000000,35000000,20000000,90000000,1,0,1,0,0,0,0,0,0,1,13,21000,34.8102495,135.5418537,0.0,44.63,0.18,8849.0,1901.0,64.04739130434784,17,34.8102495,135.5418537,10,34.6567255,135.1681706,54.17667,18.0,18.0,465000000.0,287500000.0,43274.73637068171,54.345731748299826,3,3285,2250
13997,29603,2012,1,1,9,34,3,5,3,10,4.0,0,1,0,1,1,0,11.4,52.0,38,80000000,45000000,35000000,42000000,55000000,50000000,50000000,30000000,40000000,45000000,60000000,25000000,6000000,100000000,60000000,45000000,80000000,15000000,30000000,60000000,25000000,30000000,1,1,1,0,0,0,0,1,0,1,25,50000,34.4410767,132.3941448,1.0,45.46,0.18,2840.0,8480.0,32.98906976744186,3,34.4410767,132.3941448,25,35.9019995,139.7146773,53.966719999999995,18.0,18.0,532000000.0,476000000.0,821804.8821423256,54.345731748299826,1,3176,5353
13998,25353,2012,1,1,7,12,36,5,3,10,4.0,0,1,0,1,0,0,22.5,32.0,30,2500000,10000000,2500000,2500000,2500000,2500000,20000000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,12000000,13000000,2500000,2500000,2500000,11000000,2500000,0,0,0,1,0,0,0,0,0,0,6,39232,43.00959879999999,141.4195619,0.0,46.92,0.16,5431.0,83457.0,34.06033333333334,36,43.00959879999999,141.4195619,13,34.7228036,137.87830219999998,67.077,18.0,18.0,52500000.0,56000000.0,806380.0753781097,54.345731748299826,0,1347,3391
13999,11283,2012,1,1,8,13,12,5,3,10,4.0,0,1,0,1,0,0,14.5,33.0,13,10000000,11000000,2500000,7000000,11000000,11000000,9000000,9000000,10000000,11000000,30000000,35000000,2500000,30000000,20000000,25000000,25000000,2500000,2500000,2500000,2500000,2500000,1,0,0,0,0,0,0,0,0,0,2,24490,33.3725083,130.5204243,1.0,45.63,0.2,840.0,2440.0,52.031794871794865,12,33.3725083,130.5204243,4,34.613354,135.5146258,58.06315,18.0,18.0,121500000.0,150000000.0,563176.7187474875,54.345731748299826,1,1454,2618
14000,18920,2012,1,1,24,1,47,5,3,10,3.0,0,0,0,1,1,0,7.1,65.0,27,10000000,9000000,50000000,2500000,20000000,100000000,2500000,2500000,2500000,45000000,2500000,13000000,15000000,15000000,15000000,15000000,10000000,25000000,2500000,2500000,23000000,2500000,0,1,0,0,0,0,0,0,0,0,39,26530,35.5900902,139.6473358,1.0,43.8,0.18,9079.0,2416.0,63.73166666666666,47,35.5900902,139.6473358,7,37.8824079,139.059359,47.32485,18.0,18.0,246500000.0,138500000.0,204589.48785544012,54.345731748299826,0,3073,2405
14001,11437,2012,1,1,23,39,56,5,3,10,4.0,0,1,0,1,0,1,9.2,57.0,51,30000000,18000000,35000000,2500000,20000000,30000000,80000000,40000000,50000000,30000000,2500000,35000000,58000000,50000000,30000000,36000000,30000000,50000000,20000000,30000000,2500000,2500000,0,1,0,0,0,0,0,0,0,0,9,15600,35.9189126,139.6318202,1.0,44.09,0.18,7222.0,3768.0,69.50925,56,35.9189126,139.6318202,22,35.6642727,139.52713880000002,50.792559999999995,18.0,18.0,338000000.0,344000000.0,24538.593840803496,54.345731748299826,2,3344,3865
14002,13082,2012,1,1,29,31,35,6,3,11,3.0,0,0,0,1,3,3,12.1,46.0,36,40000000,2500000,30000000,38000000,15000000,80000000,15000000,40000000,2500000,28000000,2500000,15000000,30000000,70000000,120000000,10000000,30000000,30000000,130000000,20000000,2500000,2500000,1,1,0,0,0,0,0,0,1,0,8,15349,35.848791600000006,139.97566980000002,0.0,44.86,0.17,6192.0,5082.0,73.93897435897436,35,35.848791600000006,139.97566980000002,34,35.510047,139.6063366,55.033339999999995,18.0,18.0,293500000.0,460000000.0,50134.72342999846,54.60982545725475,0,3551,3717
14003,19010,2012,1,2,37,24,44,5,3,17,4.0,0,1,0,1,0,1,13.3,86.0,48,70000000,30000000,2500000,30000000,20000000,20000000,2500000,80000000,25000000,2500000,2500000,10000000,9000000,50000000,2500000,20000000,100000000,2500000,2500000,2500000,45000000,2500000,0,0,1,0,0,0,0,0,0,0,48,40728,35.991979,140.64042969999997,0.0,45.31,0.18,2931.0,6096.0,38.830476190476176,44,35.991979,140.64042969999997,47,35.5900902,139.6473358,56.09862,14.0,2.0,285000000.0,246500000.0,115503.72362445557,54.345731748299826,0,4160,3073
14004,41069,2012,1,2,34,29,25,5,3,17,4.0,0,1,0,1,1,0,7.2,79.0,37,25000000,55000000,40000000,60000000,45000000,80000000,100000000,30000000,60000000,25000000,2500000,40000000,2500000,40000000,30000000,15000000,80000000,15000000,40000000,2500000,28000000,2500000,0,1,1,0,0,0,0,1,0,0,10,63700,35.9019995,139.7146773,0.0,44.09,0.18,7222.0,3768.0,57.114883720930244,25,35.9019995,139.7146773,35,35.848791600000006,139.97566980000002,46.46612,14.0,7.0,522500000.0,295500000.0,29332.416987822548,54.345731748299826,0,5353,3551
14005,19488,2012,1,2,31,15,34,5,3,17,3.0,0,0,0,1,0,2,6.4,80.0,15,15000000,30000000,70000000,120000000,10000000,130000000,30000000,30000000,20000000,2500000,2500000,40000000,20000000,20000000,20000000,2500000,17000000,26000000,20000000,30000000,70000000,30000000,0,0,1,0,0,0,0,0,0,0,41,72327,35.510047,139.6063366,1.0,43.8,0.18,9079.0,2416.0,38.24941176470588,34,35.510047,139.6063366,15,38.3191584,140.8818571,45.1128,7.0,2.0,460000000.0,295500000.0,279300.536372814,54.345731748299826,0,3717,2303
14006,26294,2012,1,2,1,23,7,5,3,17,4.0,0,0,1,1,1,2,11.0,68.0,39,2500000,2500000,15000000,15000000,15000000,15000000,25000000,18000000,2500000,23000000,2500000,30000000,18000000,35000000,2500000,20000000,30000000,40000000,80000000,50000000,30000000,2500000,0,0,1,0,0,0,0,0,0,0,30,42300,37.8824079,139.059359,0.0,47.23,0.17,2330.0,10364.0,59.46738095238097,7,37.8824079,139.059359,56,35.9189126,139.6318202,52.8912,14.0,14.0,136000000.0,338000000.0,177810.9322529328,54.345731748299826,0,2405,3344
14007,30764,2012,1,2,13,5,14,5,3,17,4.0,0,1,0,1,2,1,17.1,70.0,19,35000000,25000000,2500000,30000000,20000000,25000000,2500000,2500000,2500000,2500000,2500000,2500000,45000000,25000000,110000000,20000000,33000000,150000000,30000000,30000000,2500000,2500000,0,1,0,0,0,0,0,0,0,0,14,47816,34.613354,135.5146258,1.0,44.63,0.18,8849.0,1901.0,54.45473684210528,4,34.613354,135.5146258,17,34.8102495,135.5418537,61.9913,9.0,13.0,150000000.0,450500000.0,15956.054551738513,54.345731748299826,2,2618,3285
14008,13231,2012,1,2,35,9,55,5,3,17,4.0,0,0,1,1,2,1,11.5,95.0,35,14000000,20000000,35000000,60000000,2500000,25000000,2500000,50000000,18000000,20000000,25000000,80000000,45000000,35000000,42000000,55000000,50000000,50000000,30000000,40000000,45000000,60000000,0,0,1,0,0,0,0,0,0,0,54,20281,34.9851684,138.481305,0.0,45.74,0.18,3723.0,7255.0,69.53225,55,34.9851684,138.481305,3,34.4410767,132.3941448,52.845749999999995,14.0,2.0,272000000.0,532000000.0,677804.5640560618,54.345731748299826,1,3449,3176
14009,10653,2012,1,2,12,8,13,5,3,17,3.0,0,0,0,1,2,1,15.1,95.0,52,2500000,2500000,2500000,2500000,2500000,2500000,13000000,2500000,2500000,11000000,2500000,10000000,11000000,2500000,7000000,11000000,11000000,9000000,9000000,10000000,11000000,30000000,0,0,1,0,0,0,0,0,0,0,52,15165,34.7228036,137.87830219999998,1.0,45.74,0.18,3723.0,7255.0,67.74204545454545,13,34.7228036,137.87830219999998,12,33.3725083,130.5204243,59.147549999999995,9.0,9.0,46500000.0,121500000.0,824518.7955984747,54.345731748299826,1,3391,1454
14010,14036,2012,1,2,19,7,10,5,3,17,3.0,0,0,0,1,2,1,17.2,70.0,51,25000000,2500000,30000000,2500000,30000000,2500000,20000000,30000000,35000000,20000000,90000000,2500000,10000000,2500000,2500000,2500000,2500000,20000000,2500000,2500000,2500000,2500000,0,0,0,1,0,0,0,0,0,0,3,30132,34.6567255,135.1681706,1.0,45.13,0.18,5558.0,8396.0,45.03840909090909,10,34.6567255,135.1681706,36,43.00959879999999,141.4195619,62.1416,1.0,9.0,287500000.0,52500000.0,982555.9987781725,54.345731748299826,1,2250,1347
