iter	RMSE
0	8020.993187
1	7740.946298
2	7523.031128
3	7296.003345
4	7074.337024
5	6858.765483
6	6662.429961
7	6478.967024
8	6300.649346
9	6138.227934
10	5996.574239
11	5856.239033
12	5712.026033
13	5574.910138
14	5457.995452
15	5364.594756
16	5251.88988
17	5165.970948
18	5065.300833
19	4971.267975
20	4884.514944
21	4793.37303
22	4711.298002
23	4630.393379
24	4546.252428
25	4480.224594
26	4416.144171
27	4351.282239
28	4288.320477
29	4220.429203
30	4156.546419
31	4099.621101
32	4048.163811
33	4000.86471
34	3951.266143
35	3900.07368
36	3856.207902
37	3816.087977
38	3771.711421
39	3739.289864
40	3702.53085
41	3672.640198
42	3636.39324
43	3607.491802
44	3577.006556
45	3547.635773
46	3523.567188
47	3493.850893
48	3470.026074
49	3443.919433
50	3411.977978
51	3383.739858
52	3362.028239
53	3342.27473
54	3327.450845
55	3314.071877
56	3291.253277
57	3276.047126
58	3254.078023
59	3237.070693
60	3219.263071
61	3207.074487
62	3187.275707
63	3169.311788
64	3148.821028
65	3134.043995
66	3118.147292
67	3103.170106
68	3086.683267
69	3068.428762
70	3062.760399
71	3053.173015
72	3038.290615
73	3029.650346
74	3013.590864
75	2996.636094
76	2982.395229
77	2973.199133
78	2962.420542
79	2952.797401
80	2943.255405
81	2927.459909
82	2918.904085
83	2907.919985
84	2892.549813
85	2876.427785
86	2870.993282
87	2862.652976
88	2852.33315
89	2841.118263
90	2834.328865
91	2821.87386
92	2807.511863
93	2793.018114
94	2783.039761
95	2779.524044
96	2775.363137
97	2763.373804
98	2749.616513
99	2740.816232
100	2728.41696
101	2714.792847
102	2712.905464
103	2700.614752
104	2690.023996
105	2679.912953
106	2667.903119
107	2659.287712
108	2650.628456
109	2642.477283
110	2631.491777
111	2625.772569
112	2619.167668
113	2612.289754
114	2607.535296
115	2605.338895
116	2593.657007
117	2585.066878
118	2577.630813
119	2575.729905
120	2566.05553
121	2555.597151
122	2548.467868
123	2541.116428
124	2534.52074
125	2533.590829
126	2526.773921
127	2520.99473
128	2510.745761
129	2500.198297
130	2495.955019
131	2484.562198
132	2475.595664
133	2466.138382
134	2453.143365
135	2446.703727
136	2442.527999
137	2439.818052
138	2431.735797
139	2424.004392
140	2412.151008
141	2409.926887
142	2404.44633
143	2396.675109
144	2383.133516
145	2374.869721
146	2367.292097
147	2365.124559
148	2358.679609
149	2352.069467
150	2342.542042
151	2340.926718
152	2333.439121
153	2331.316996
154	2328.535502
155	2321.137021
156	2313.602661
157	2306.033922
158	2297.849729
159	2291.368428
160	2283.730764
161	2275.878864
162	2267.599473
163	2264.67909
164	2256.818968
165	2250.911488
166	2245.79555
167	2240.269809
168	2228.753584
169	2220.021291
